UNITID,LATITUDE,LONGITUDE
133951,25.7571,-80.3776
133979,25.9179,-80.2707
134079,28.0315,-81.9458
134097,30.4397,-84.2909
134130,29.6382,-82.3612
134510,27.0665,-80.1324
134945,30.3503,-81.6071
135364,33.698,-84.1236
135610,26.0997,-80.2572
135726,25.7204,-80.2765
136172,30.2709,-81.5079
136206,26.7147,-80.1041
136215,26.0793,-80.2425
136330,26.7046,-80.0498
136774,27.3596,-82.5486
136950,28.592,-81.3487
137032,28.3368,-82.2573
137272,25.7426,-80.3374
137351,28.0566,-82.4159
137476,25.9209,-80.2563
137546,29.0363,-81.3016
137564,28.0319,-81.919
137777,25.7949,-80.1413
137847,27.9472,-82.4656
137953,30.3238,-81.7057
137962,28.1942,-82.6771
138275,27.8258,-81.6
138293,27.8388,-81.5323
138354,30.5429,-87.2181
138600,33.77,-84.2956
138716,31.5714,-84.1431
138789,31.9781,-81.1604
138868,33.6854,-84.4748
138947,33.7488,-84.4128
139144,34.2893,-85.1891
139153,33.737,-84.3581
139199,34.3031,-83.8215
139205,32.1857,-82.5861
139311,33.5941,-84.3282
139366,32.5016,-84.9408
139393,34.9633,-85.375
139630,34.2826,-83.1468
139658,33.7988,-84.3258
139719,32.5382,-83.8955
139755,33.7737,-84.396
139764,32.0582,-84.2178
139861,33.0828,-83.232
139931,32.4273,-81.7799
139940,33.7527,-84.3867
139959,33.9435,-83.3738
140164,34.0363,-84.5808
140234,33.0397,-85.0414
140252,33.9321,-84.5142
140447,32.8297,-83.651
140553,33.7479,-84.4152
140696,33.8759,-84.3348
140720,33.4693,-81.9912
140818,34.5666,-83.5432
140872,34.3189,-84.5547
140951,32.073,-81.0939
140960,32.0248,-81.0634
140988,34.2582,-85.1962
141060,33.7452,-84.4101
141097,33.939,-84.5193
141167,30.814,-83.9815
141185,34.5937,-83.3573
141237,34.5944,-83.746
141264,30.8492,-83.2899
141325,32.8746,-83.7172
141334,33.5744,-85.099
141361,34.9332,-83.8478
141486,21.2903,-157.8076
141565,19.7019,-155.0813
141574,21.2926,-157.8166
141644,21.3101,-157.8593
141981,21.3941,-157.9821
142090,43.6574,-116.2906
142115,43.6044,-116.2058
142276,42.8641,-112.4291
142285,46.7269,-117.0243
142294,43.6527,-116.6768
142328,46.41,-117.0264
142461,43.5632,-116.5644
142522,43.8154,-111.7847
143048,41.8796,-87.6214
143084,41.5003,-90.5524
143118,41.7545,-88.3495
143288,39.2883,-89.8722
143297,39.9359,-91.3985
143358,40.6976,-89.6146
144005,41.7188,-87.6103
144050,41.7892,-87.6012
144281,41.8736,-87.6246
144351,41.8986,-87.81
144740,41.9233,-87.6541
144883,41.8713,-87.6248
144892,39.483,-88.1755
144962,41.8992,-87.9461
144971,40.713,-89.269
145336,41.4486,-87.717
145372,38.8948,-89.4092
145497,42.0111,-87.7611
145600,41.8727,-87.6511
145619,41.7764,-88.0959
145637,40.1089,-88.2303
145646,40.4915,-88.9906
145691,39.7308,-90.2463
145725,41.8338,-87.6283
145813,40.5097,-88.9923
146339,42.059,-88.2897
146427,40.9418,-90.3703
146481,42.2505,-87.8308
146533,40.1372,-87.6445
146612,41.6054,-88.079
146667,40.1489,-89.3458
146719,41.9992,-87.6574
146825,39.7302,-90.2218
147013,38.6094,-89.8145
147129,40.7002,-89.5913
147244,39.8426,-88.9746
147341,40.9146,-90.6379
147369,41.8978,-87.6335
147536,41.8798,-87.6248
147590,41.8619,-88.0132
147660,41.7753,-88.1436
147679,41.9751,-87.7091
147703,41.9338,-88.7661
147767,42.0584,-87.6737
147776,41.9806,-87.7201
147828,41.1555,-87.8737
148131,39.9392,-91.3879
148335,41.8763,-87.6271
148405,42.2706,-89.0195
148487,41.8761,-87.625
148496,41.9028,-87.8219
148511,41.8749,-87.6675
148575,40.7003,-89.591
148584,41.5333,-88.0964
148593,39.8073,-89.6458
148627,41.7078,-87.7135
148654,39.7299,-89.6149
148849,41.8322,-87.6271
149028,42.2632,-89.1083
149222,37.7192,-89.2176
149231,38.7939,-89.9978
149329,41.9753,-87.7169
149505,41.6692,-87.7842
149514,42.1979,-87.8827
149639,41.8368,-87.6291
149763,41.8916,-87.7752
149772,40.4656,-90.6852
149781,41.8709,-88.0968
150066,40.1122,-85.6623
150136,40.1989,-85.4089
150145,41.6777,-86.1916
150163,39.8407,-86.1718
150172,41.6709,-87.493
150400,39.6395,-86.8636
150455,39.8223,-84.9115
150534,37.97,-87.532
150604,39.4783,-86.0472
150668,41.5643,-85.8268
150677,41.2265,-85.8139
150756,38.7125,-85.4611
150774,41.7,-86.2537
150941,40.8991,-85.4996
151102,41.1154,-85.1117
151111,39.7729,-86.1722
151263,39.7097,-86.1347
151290,41.0783,-85.118
151306,37.9662,-87.6767
151324,39.4687,-87.4071
151333,40.4599,-86.1321
151342,41.6657,-86.223
151351,39.1664,-86.5269
151360,41.5567,-87.3385
151379,38.343,-85.8194
151388,39.8671,-84.8862
151777,41.0116,-85.7588
151786,39.8153,-86.2046
151801,40.5185,-85.662
151810,39.7984,-86.1048
152080,41.6167,-86.2898
152099,38.3396,-87.3516
152248,41.5847,-87.4738
152266,41.5838,-86.8952
152318,39.4809,-87.3236
152336,41.0878,-85.1737
152363,40.9234,-87.1555
152381,39.5106,-87.4604
152390,41.6167,-86.2898
152530,40.4584,-85.4969
152567,41.6334,-85.0057
152600,41.4632,-87.0459
152673,40.0378,-86.9058
152798,42.5314,-92.338
152822,41.562,-93.6457
152992,42.5269,-96.427
153001,42.6425,-95.2081
153108,41.4002,-92.9187
153126,42.5086,-90.6915
153144,41.9864,-91.6575
153162,41.926,-91.4254
153241,42.4416,-90.9349
153250,43.084,-96.1663
153269,41.6038,-93.6541
153278,42.498,-90.6936
153320,41.7363,-93.6242
153366,40.616,-93.9249
153375,41.6209,-93.605
153384,41.747,-92.7212
153603,42.0264,-93.6484
153621,40.9737,-91.5526
153658,41.6607,-91.5357
153825,42.5041,-90.6802
153834,43.3136,-91.804
153861,41.0178,-91.9673
154004,42.4732,-96.3607
154013,42.0019,-91.651
154095,42.5149,-92.4597
154101,42.999,-96.0584
154174,41.529,-90.5746
154235,41.5401,-90.581
154350,41.3655,-93.5635
154493,42.8403,-91.7997
154527,42.7276,-92.4809
